remoteness, sa3_code, yr
"Inner Regional Australia","10101",2013
"Major Cities of Australia","10102",2013
"Outer Regional Australia","10103",2013
"Outer Regional Australia","10104",2013
"Major Cities of Australia","10201",2013
"Major Cities of Australia","10202",2013
"Inner Regional Australia","10301",2013
"Outer Regional Australia","10302",2013
"Inner Regional Australia","10303",2013
"Inner Regional Australia","10304",2013
"Inner Regional Australia","10401",2013
"Inner Regional Australia","10402",2013
"Remote Australia","10501",2013
"Outer Regional Australia","10502",2013
"Inner Regional Australia","10503",2013
"Inner Regional Australia","10601",2013
"Major Cities of Australia","10602",2013
"Inner Regional Australia","10603",2013
"Inner Regional Australia","10604",2013
"Major Cities of Australia","10701",2013
"Inner Regional Australia","10702",2013
"Major Cities of Australia","10703",2013
"Major Cities of Australia","10704",2013
"Inner Regional Australia","10801",2013
"Outer Regional Australia","10802",2013
"Very Remote Australia","10803",2013
"Inner Regional Australia","10804",2013
"Inner Regional Australia","10805",2013
"Inner Regional Australia","10901",2013
"Outer Regional Australia","10902",2013
"Inner Regional Australia","10903",2013
"Inner Regional Australia","12402",2013
"Inner Regional Australia","11001",2013
"Outer Regional Australia","11002",2013
"Outer Regional Australia","11003",2013
"Inner Regional Australia","11004",2013
"Major Cities of Australia","11101",2013
"Major Cities of Australia","11102",2013
"Major Cities of Australia","11103",2013
"Inner Regional Australia","11201",2013
"Inner Regional Australia","11202",2013
"Major Cities of Australia","11203",2013
"Outer Regional Australia","11301",2013
"Inner Regional Australia","11302",2013
"Inner Regional Australia","11303",2013
"Inner Regional Australia","11401",2013
"Inner Regional Australia","11402",2013
"Major Cities of Australia","11501",2013
"Major Cities of Australia","11502",2013
"Inner Regional Australia","11503",2013
"Major Cities of Australia","11504",2013
"Major Cities of Australia","11601",2013
"Major Cities of Australia","11602",2013
"Major Cities of Australia","11603",2013
"Major Cities of Australia","11701",2013
"Major Cities of Australia","11801",2013
"Major Cities of Australia","11703",2013
"Major Cities of Australia","11802",2013
"Major Cities of Australia","11901",2013
"Major Cities of Australia","11702",2013
"Major Cities of Australia","11902",2013
"Major Cities of Australia","11903",2013
"Major Cities of Australia","11904",2013
"Major Cities of Australia","12001",2013
"Major Cities of Australia","12002",2013
"Major Cities of Australia","12003",2013
"Major Cities of Australia","12101",2013
"Major Cities of Australia","12102",2013
"Major Cities of Australia","12103",2013
"Major Cities of Australia","12104",2013
"Major Cities of Australia","12201",2013
"Major Cities of Australia","12202",2013
"Major Cities of Australia","12203",2013
"Major Cities of Australia","12301",2013
"Major Cities of Australia","12302",2013
"Inner Regional Australia","12303",2013
"Major Cities of Australia","12401",2013
"Major Cities of Australia","12403",2013
"Major Cities of Australia","12404",2013
"Major Cities of Australia","12405",2013
"Major Cities of Australia","12501",2013
"Major Cities of Australia","12502",2013
"Major Cities of Australia","12503",2013
"Major Cities of Australia","12504",2013
"Major Cities of Australia","12601",2013
"Major Cities of Australia","12602",2013
"Major Cities of Australia","12701",2013
"Major Cities of Australia","12702",2013
"Major Cities of Australia","12703",2013
"Major Cities of Australia","12801",2013
"Major Cities of Australia","12802",2013
"Inner Regional Australia","20101",2013
"Inner Regional Australia","20102",2013
"Inner Regional Australia","20103",2013
"Inner Regional Australia","20201",2013
"Inner Regional Australia","20202",2013
"Inner Regional Australia","20203",2013
"Inner Regional Australia","20301",2013
"Major Cities of Australia","20302",2013
"Inner Regional Australia","20303",2013
"Inner Regional Australia","20401",2013
"Inner Regional Australia","20402",2013
"Inner Regional Australia","20403",2013
"Inner Regional Australia","20501",2013
"Outer Regional Australia","20502",2013
"Inner Regional Australia","20503",2013
"Inner Regional Australia","20504",2013
"Inner Regional Australia","20505",2013
"Major Cities of Australia","20601",2013
"Major Cities of Australia","20602",2013
"Major Cities of Australia","20603",2013
"Major Cities of Australia","20604",2013
"Major Cities of Australia","20605",2013
"Major Cities of Australia","20701",2013
"Major Cities of Australia","20702",2013
"Major Cities of Australia","20703",2013
"Major Cities of Australia","20606",2013
"Major Cities of Australia","20801",2013
"Major Cities of Australia","20901",2013
"Major Cities of Australia","20902",2013
"Major Cities of Australia","20607",2013
"Major Cities of Australia","20903",2013
"Major Cities of Australia","20904",2013
"Major Cities of Australia","21001",2013
"Major Cities of Australia","20802",2013
"Major Cities of Australia","20803",2013
"Major Cities of Australia","20804",2013
"Inner Regional Australia","21002",2013
"Major Cities of Australia","21003",2013
"Major Cities of Australia","21004",2013
"Major Cities of Australia","21005",2013
"Major Cities of Australia","21101",2013
"Major Cities of Australia","21102",2013
"Major Cities of Australia","21103",2013
"Major Cities of Australia","21104",2013
"Major Cities of Australia","21105",2013
"Major Cities of Australia","21201",2013
"Major Cities of Australia","21202",2013
"Major Cities of Australia","21203",2013
"Major Cities of Australia","21204",2013
"Major Cities of Australia","21205",2013
"Major Cities of Australia","21301",2013
