remoteness, sa3_code, yr
"Inner Regional Australia","10101",2010
"Major Cities of Australia","10102",2010
"Outer Regional Australia","10103",2010
"Outer Regional Australia","10104",2010
"Major Cities of Australia","10201",2010
"Major Cities of Australia","10202",2010
"Inner Regional Australia","10301",2010
"Outer Regional Australia","10302",2010
"Inner Regional Australia","10303",2010
"Inner Regional Australia","10304",2010
"Inner Regional Australia","10401",2010
"Inner Regional Australia","10402",2010
"Remote Australia","10501",2010
"Outer Regional Australia","10502",2010
"Inner Regional Australia","10503",2010
"Inner Regional Australia","10601",2010
"Major Cities of Australia","10602",2010
"Inner Regional Australia","10603",2010
"Inner Regional Australia","10604",2010
"Major Cities of Australia","10701",2010
"Inner Regional Australia","10702",2010
"Major Cities of Australia","10703",2010
"Major Cities of Australia","10704",2010
"Inner Regional Australia","10801",2010
"Outer Regional Australia","10802",2010
"Very Remote Australia","10803",2010
"Inner Regional Australia","10804",2010
"Inner Regional Australia","10805",2010
"Inner Regional Australia","10901",2010
"Outer Regional Australia","10902",2010
"Inner Regional Australia","10903",2010
"Inner Regional Australia","11001",2010
"Outer Regional Australia","11002",2010
"Outer Regional Australia","11003",2010
"Inner Regional Australia","11004",2010
"Major Cities of Australia","11101",2010
"Major Cities of Australia","11102",2010
"Major Cities of Australia","11103",2010
"Inner Regional Australia","11201",2010
"Inner Regional Australia","11202",2010
"Major Cities of Australia","11203",2010
"Outer Regional Australia","11301",2010
"Inner Regional Australia","11302",2010
"Inner Regional Australia","11303",2010
"Inner Regional Australia","11401",2010
"Inner Regional Australia","11402",2010
"Major Cities of Australia","11501",2010
"Major Cities of Australia","11502",2010
"Inner Regional Australia","11503",2010
"Major Cities of Australia","11504",2010
"Major Cities of Australia","11601",2010
"Major Cities of Australia","11602",2010
"Major Cities of Australia","11603",2010
"Major Cities of Australia","11701",2010
"Major Cities of Australia","11801",2010
"Major Cities of Australia","11703",2010
"Major Cities of Australia","11802",2010
"Major Cities of Australia","11901",2010
"Major Cities of Australia","11702",2010
"Major Cities of Australia","11902",2010
"Major Cities of Australia","11903",2010
"Major Cities of Australia","11904",2010
"Major Cities of Australia","12001",2010
"Major Cities of Australia","12002",2010
"Major Cities of Australia","12003",2010
"Major Cities of Australia","12101",2010
"Major Cities of Australia","12102",2010
"Major Cities of Australia","12103",2010
"Major Cities of Australia","12104",2010
"Major Cities of Australia","12201",2010
"Major Cities of Australia","12202",2010
"Major Cities of Australia","12203",2010
"Major Cities of Australia","12301",2010
"Major Cities of Australia","12302",2010
"Inner Regional Australia","12303",2010
"Major Cities of Australia","12401",2010
"Inner Regional Australia","12402",2010
"Major Cities of Australia","12403",2010
"Major Cities of Australia","12404",2010
"Major Cities of Australia","12405",2010
"Major Cities of Australia","12501",2010
"Major Cities of Australia","12502",2010
"Major Cities of Australia","12503",2010
"Major Cities of Australia","12504",2010
"Major Cities of Australia","12601",2010
"Major Cities of Australia","12602",2010
"Major Cities of Australia","12701",2010
"Major Cities of Australia","12702",2010
"Major Cities of Australia","12703",2010
"Major Cities of Australia","12801",2010
"Major Cities of Australia","12802",2010
"Inner Regional Australia","20101",2010
"Inner Regional Australia","20102",2010
"Inner Regional Australia","20103",2010
"Inner Regional Australia","20201",2010
"Inner Regional Australia","20202",2010
"Inner Regional Australia","20203",2010
"Inner Regional Australia","20301",2010
"Major Cities of Australia","20302",2010
"Inner Regional Australia","20303",2010
"Inner Regional Australia","20401",2010
"Inner Regional Australia","20402",2010
"Inner Regional Australia","20403",2010
"Inner Regional Australia","20501",2010
"Outer Regional Australia","20502",2010
"Inner Regional Australia","20503",2010
"Inner Regional Australia","20504",2010
"Inner Regional Australia","20505",2010
