remoteness, sa3_code, yr
"Inner Regional Australia","10101",2016
"Major Cities of Australia","10102",2016
"Outer Regional Australia","10103",2016
"Outer Regional Australia","10104",2016
"Major Cities of Australia","10201",2016
"Major Cities of Australia","10202",2016
"Inner Regional Australia","10301",2016
"Outer Regional Australia","10302",2016
"Inner Regional Australia","10303",2016
"Inner Regional Australia","10304",2016
"Inner Regional Australia","10401",2016
"Inner Regional Australia","10402",2016
"Remote Australia","10501",2016
"Outer Regional Australia","10502",2016
"Inner Regional Australia","10503",2016
"Inner Regional Australia","10601",2016
"Major Cities of Australia","10602",2016
"Inner Regional Australia","10603",2016
"Inner Regional Australia","10604",2016
"Major Cities of Australia","10701",2016
"Inner Regional Australia","10702",2016
"Major Cities of Australia","10703",2016
"Major Cities of Australia","10704",2016
"Inner Regional Australia","10801",2016
"Outer Regional Australia","10802",2016
"Very Remote Australia","10803",2016
"Inner Regional Australia","10804",2016
"Inner Regional Australia","10805",2016
"Inner Regional Australia","10901",2016
"Outer Regional Australia","10902",2016
"Inner Regional Australia","10903",2016
"Inner Regional Australia","11001",2016
"Outer Regional Australia","11002",2016
"Outer Regional Australia","11003",2016
"Inner Regional Australia","11004",2016
"Major Cities of Australia","11101",2016
"Major Cities of Australia","11102",2016
"Major Cities of Australia","11103",2016
"Inner Regional Australia","11201",2016
"Inner Regional Australia","11202",2016
"Major Cities of Australia","11203",2016
"Outer Regional Australia","11301",2016
"Inner Regional Australia","11302",2016
"Inner Regional Australia","11303",2016
"Inner Regional Australia","11401",2016
"Inner Regional Australia","11402",2016
"Major Cities of Australia","11501",2016
"Major Cities of Australia","11502",2016
"Inner Regional Australia","11503",2016
"Major Cities of Australia","11504",2016
"Major Cities of Australia","11601",2016
"Major Cities of Australia","11602",2016
"Major Cities of Australia","11603",2016
"Major Cities of Australia","11701",2016
"Major Cities of Australia","11801",2016
"Major Cities of Australia","11703",2016
"Major Cities of Australia","11802",2016
"Major Cities of Australia","11901",2016
"Major Cities of Australia","11902",2016
"Major Cities of Australia","11702",2016
"Major Cities of Australia","11903",2016
"Major Cities of Australia","11904",2016
"Major Cities of Australia","12001",2016
"Major Cities of Australia","12002",2016
"Major Cities of Australia","12003",2016
"Major Cities of Australia","12101",2016
"Major Cities of Australia","12102",2016
"Major Cities of Australia","12103",2016
"Major Cities of Australia","12104",2016
"Major Cities of Australia","12201",2016
"Major Cities of Australia","12202",2016
"Major Cities of Australia","12203",2016
"Major Cities of Australia","12301",2016
"Major Cities of Australia","12302",2016
"Inner Regional Australia","12303",2016
"Major Cities of Australia","12401",2016
"Inner Regional Australia","12402",2016
"Major Cities of Australia","12403",2016
"Major Cities of Australia","12404",2016
"Major Cities of Australia","12405",2016
"Major Cities of Australia","12501",2016
"Major Cities of Australia","12502",2016
"Major Cities of Australia","12503",2016
"Major Cities of Australia","12504",2016
"Major Cities of Australia","12601",2016
"Major Cities of Australia","12602",2016
"Major Cities of Australia","12701",2016
"Major Cities of Australia","12702",2016
"Major Cities of Australia","12703",2016
"Major Cities of Australia","12801",2016
"Major Cities of Australia","12802",2016
"Inner Regional Australia","20101",2016
"Inner Regional Australia","20102",2016
"Inner Regional Australia","20103",2016
"Inner Regional Australia","20201",2016
"Inner Regional Australia","20202",2016
"Inner Regional Australia","20203",2016
"Inner Regional Australia","20301",2016
"Major Cities of Australia","20302",2016
"Inner Regional Australia","20303",2016
