bachelor_degree_level_tot_2016, advanced_diploma_diploma_level_tot_2016, no_scl_tot_2016, graduate_diploma_graduate_certificate_level_tot_2016, yr_12_equivalent_tot_2016, remoteness, postgraduate_degree_level_tot_2016, certificate_level_tot_2016, est_res_pop, sa3_code, yr, unemployed_tot, longitude, latitude, labour_force_tot
21005,10034,1701,1618,68086,"Major Cities of Australia",8414,10608,129278,"11903",2016,2545,151.0778173,-33.9692086,67414
22651,11278,1853,1610,72758,"Major Cities of Australia",8559,11773,139987,"11904",2016,2718,151.1330925,-33.95966632,75380
17561,6918,769,1710,48344,"Major Cities of Australia",7654,6517,88591,"12001",2016,1438,151.1149483,-33.85336506,54128
13571,4190,214,1676,33020,"Major Cities of Australia",6259,3338,59502,"12002",2016,1550,151.1679398,-33.87051537,40759
31904,11424,2149,2886,91060,"Major Cities of Australia",13837,9844,153440,"12003",2016,4876,151.10569,-33.88577696,92758
28647,8423,535,2714,70357,"Major Cities of Australia",13066,5044,116479,"12101",2016,2668,151.186878,-33.8071838,64588
15685,6927,393,1842,44175,"Major Cities of Australia",6758,7103,85465,"12102",2016,3359,151.1496889,-33.62194628,46276
28949,9005,331,2939,72138,"Major Cities of Australia",13339,4620,124509,"12103",2016,1855,151.1509721,-33.73471651,62220
27214,7948,164,2744,62911,"Major Cities of Australia",12017,4022,102450,"12104",2016,1920,151.2268786,-33.83128793,65246
10594,3562,48,1035,25129,"Major Cities of Australia",3878,2483,45801,"12201",2016,621,151.2699809,-33.8002745,27274
9850,6194,80,1145,30445,"Major Cities of Australia",2923,7114,64753,"12202",2016,923,151.2792873,-33.63981972,36633
25655,14075,623,2762,76192,"Major Cities of Australia",7807,16269,158295,"12203",2016,3213,151.2297683,-33.71016756,90864
5599,5030,149,743,22372,"Major Cities of Australia",1421,10017,64543,"12301",2016,855,150.7197459,-34.05526108,33509
13216,10530,1167,1210,58910,"Major Cities of Australia",4674,20924,163421,"12302",2016,5768,150.853533,-34.07812055,79191
2824,2955,97,415,12357,"Inner Regional Australia",798,7786,41604,"12303",2016,688,150.612559,-34.14543777,20957
11010,7349,138,2027,34312,"Major Cities of Australia",4179,10629,79813,"12401",2016,1298,150.4257913,-33.63700679,39811
0,0,0,0,0,"Inner Regional Australia",0,0,7,"12402",2016,0,150.2879178,-33.99348038,0
11191,9790,519,1289,48539,"Major Cities of Australia",3466,22101,142899,"12403",2016,2742,150.6787773,-33.811427,73850
2258,2356,116,309,10559,"Major Cities of Australia",620,6321,38163,"12404",2016,847,150.7465413,-33.62395882,19241
3523,3216,381,308,18032,"Major Cities of Australia",901,7997,57373,"12405",2016,1551,150.7859101,-33.78424261,29232
13202,6068,3207,825,46018,"Major Cities of Australia",5042,5158,91593,"12501",2016,2543,151.0453144,-33.85548659,43019
11523,5323,787,985,35838,"Major Cities of Australia",4833,5602,70192,"12502",2016,1218,151.046544,-33.79295974,36236
14582,9970,4319,996,61614,"Major Cities of Australia",4505,13827,156438,"12503",2016,6043,150.9738073,-33.84817212,71201
26482,10142,1472,2137,75771,"Major Cities of Australia",13854,10262,148224,"12504",2016,2974,150.992089,-33.79735304,81956
11130,3656,238,1182,29570,"Major Cities of Australia",5768,2509,48197,"12601",2016,1291,151.073704,-33.75419738,26568
28689,10640,1114,2388,79913,"Major Cities of Australia",13339,9471,138445,"12602",2016,5095,151.1135508,-33.80294228,75395
8288,6803,2269,578,39322,"Major Cities of Australia",1843,11763,101942,"12701",2016,2455,150.7472065,-33.94706867,47756
13982,10855,9883,747,72729,"Major Cities of Australia",2432,16482,193728,"12702",2016,7341,150.8693637,-33.86210994,84658
11768,8569,1962,870,48899,"Major Cities of Australia",3569,12631,120919,"12703",2016,3226,150.9306669,-33.96871296,57595
14991,10499,324,1738,49867,"Major Cities of Australia",4271,15538,114321,"12801",2016,2410,151.144056,-34.03587441,65372
14375,10072,284,1849,48369,"Major Cities of Australia",4255,16081,112388,"12802",2016,2419,151.0443719,-34.08451295,65866
10738,7134,258,2316,37936,"Inner Regional Australia",2762,15027,106296,"20101",2016,2804,143.8155597,-37.56946813,54622
2681,2247,47,650,9704,"Inner Regional Australia",818,4305,28152,"20102",2016,586,144.1052205,-37.49156466,14532
1351,1482,67,289,6491,"Inner Regional Australia",254,4174,24481,"20103",2016,814,143.5080136,-37.29234216,10739
8891,6183,445,1925,32075,"Inner Regional Australia",1919,14470,94608,"20201",2016,2192,144.2889256,-36.7458619,47664
5250,3589,108,1379,17247,"Inner Regional Australia",1607,6677,46790,"20202",2016,760,144.3530442,-37.01213684,23020
648,676,28,151,2743,"Inner Regional Australia",97,1816,11192,"20203",2016,228,143.9531985,-36.38213378,5333
1674,1488,27,332,6325,"Inner Regional Australia",343,3337,18759,"20301",2016,374,143.99357,-38.06160395,10121
19920,14238,1105,3339,71254,"Major Cities of Australia",4896,27699,191440,"20302",2016,6912,144.3656491,-38.01887586,100700
9638,6558,129,1911,29570,"Inner Regional Australia",2336,10307,71096,"20303",2016,1442,144.2589067,-38.33804433,35513
3800,3909,117,796,16477,"Inner Regional Australia",752,8978,53194,"20401",2016,1454,145.664487,-37.12977629,27920
3574,3450,123,801,13795,"Inner Regional Australia",658,7420,44750,"20402",2016,1311,146.2749024,-36.54760056,24026
5720,5544,242,1328,22390,"Inner Regional Australia",1235,11852,69255,"20403",2016,2002,147.2616838,-36.51846409,37906
3780,3518,150,880,15000,"Inner Regional Australia",809,8433,48202,"20501",2016,1320,146.1245407,-37.98174685,24296
3012,3190,133,677,12695,"Outer Regional Australia",529,7591,44641,"20502",2016,1881,148.2548639,-37.37810117,20015
4674,4423,168,1039,18479,"Inner Regional Australia",951,10247,61059,"20503",2016,1988,145.9467558,-38.58606005,28939
4673,4431,314,890,21009,"Inner Regional Australia",912,13113,73837,"20504",2016,4038,146.4461702,-38.25857951,36037
2928,2735,126,615,11830,"Inner Regional Australia",503,7309,42167,"20505",2016,1451,146.8939142,-37.93351176,20400
19352,6019,1243,3292,51951,"Major Cities of Australia",7938,6410,91229,"20601",2016,3318,144.9577489,-37.75552468,51723
11834,3531,669,2349,30435,"Major Cities of Australia",4894,3508,55049,"20602",2016,1640,145.007415,-37.76767664,31046
13703,5020,730,2182,36952,"Major Cities of Australia",4847,5211,68744,"20603",2016,2237,144.9142017,-37.76264435,38069
38193,9132,794,3294,97980,"Major Cities of Australia",15597,5199,136319,"20604",2016,3026,144.9482317,-37.80794675,79688
25564,8491,432,3470,63551,"Major Cities of Australia",9784,7198,108487,"20605",2016,2854,144.9555775,-37.84788065,70751
41891,12169,761,6066,103519,"Major Cities of Australia",17020,7790,176732,"20701",2016,4220,145.0630014,-37.81938671,102019
16966,7287,1055,1990,48947,"Major Cities of Australia",6002,6917,94011,"20702",2016,3692,145.1348092,-37.76852584,49706
18488,5103,293,1919,42864,"Major Cities of Australia",6376,3383,66899,"20606",2016,1258,145.008773,-37.84676795,41075
20678,8574,951,3030,58974,"Major Cities of Australia",8084,6837,105872,"20703",2016,4467,145.1325908,-37.82807657,56730
20665,8389,285,3073,53599,"Major Cities of Australia",7011,6245,102882,"20801",2016,1691,145.0181541,-37.94183904,52222
20556,9685,734,3763,60824,"Major Cities of Australia",7467,12860,127791,"20901",2016,2543,145.0851274,-37.73039014,70496
13951,6869,1731,1992,46840,"Major Cities of Australia",5261,8469,98514,"20902",2016,3190,145.016795,-37.72128237,50041
24207,5935,973,3472,57116,"Major Cities of Australia",9741,5048,92101,"20607",2016,3192,144.9968815,-37.80139383,57644
9563,5732,137,1989,30570,"Major Cities of Australia",2824,8858,67106,"20903",2016,918,145.3096309,-37.56692693,40731
20503,15856,2926,2498,89238,"Major Cities of Australia",6289,26732,220750,"20904",2016,7014,145.0745719,-37.46463403,112915
7817,4451,743,1110,25961,"Major Cities of Australia",1863,6738,61644,"21001",2016,1062,144.8666588,-37.73123493,31837
32621,11717,810,4480,86266,"Major Cities of Australia",12012,10280,156848,"20802",2016,3401,145.0445052,-37.90112063,84387
17187,10430,597,2753,56106,"Major Cities of Australia",4929,13903,121046,"20803",2016,3875,145.1010436,-37.9996936,64529
10670,3156,172,1393,25841,"Major Cities of Australia",3995,1967,43670,"20804",2016,635,145.0552712,-37.8676754,24213
3319,2533,35,727,11666,"Inner Regional Australia",813,4494,29706,"21002",2016,428,144.6979206,-37.39296966,16410
9950,5373,1278,1392,34341,"Major Cities of Australia",3632,7234,78589,"21003",2016,2368,144.9427456,-37.71246477,36586
3326,3146,127,669,14813,"Major Cities of Australia",649,6765,39868,"21004",2016,1146,144.7320627,-37.56630289,22790
12935,10782,3621,1421,62780,"Major Cities of Australia",3882,17073,163429,"21005",2016,8384,144.8812856,-37.61379559,75004
19926,13116,908,2754,69906,"Major Cities of Australia",5718,21206,157090,"21101",2016,3832,145.2605366,-37.89000711,88418
4558,2226,113,713,13003,"Major Cities of Australia",1259,2668,26818,"21102",2016,265,145.2304267,-37.75605984,15021
14745,9628,740,2652,49447,"Major Cities of Australia",4197,14644,113492,"21103",2016,3058,145.2654447,-37.80475965,61922
11137,5220,646,1641,31729,"Major Cities of Australia",4017,5312,62813,"21104",2016,1037,145.1878723,-37.83328957,32985
14402,12750,481,2898,56798,"Major Cities of Australia",3328,25442,151397,"21105",2016,3880,145.549728,-37.74711846,83478
7128,7265,283,1250,32311,"Major Cities of Australia",1630,16111,96167,"21201",2016,3366,145.5727022,-38.08308955,50986
13108,10639,1700,1645,55759,"Major Cities of Australia",3788,17104,133852,"21202",2016,4974,145.3121188,-38.00449703,73239
13965,13056,2264,1629,65317,"Major Cities of Australia",4174,23152,170221,"21203",2016,6968,145.3077595,-38.14397886,88556
19335,13478,7172,1792,82612,"Major Cities of Australia",6069,17554,191358,"21204",2016,9068,145.1797984,-37.998001,93441
33198,13820,1686,3745,100092,"Major Cities of Australia",14116,12513,182232,"21205",2016,3263,145.1456353,-37.89708578,95958
18221,11979,5079,1596,79339,"Major Cities of Australia",4205,18669,194180,"21301",2016,10444,144.7970265,-37.75188092,99556
12189,6176,957,2016,38695,"Major Cities of Australia",3975,9082,87930,"21302",2016,2646,144.83163,-37.85459523,48990
15650,6143,1383,2264,45698,"Major Cities of Australia",5546,6273,85276,"21303",2016,3597,144.8777723,-37.79526741,50268
13287,10617,1190,1730,57883,"Major Cities of Australia",3246,20662,157287,"21304",2016,6653,144.5715795,-37.68286557,84010
25860,16759,1954,2889,97132,"Major Cities of Australia",11922,24323,229772,"21305",2016,8667,144.6188251,-37.88654258,123566
11408,11151,470,2032,50606,"Major Cities of Australia",2416,22257,137424,"21401",2016,4599,145.1737988,-38.13460821,75780
15555,13616,468,3005,59355,"Major Cities of Australia",3524,24226,157041,"21402",2016,3420,145.0353506,-38.34168557,78248
3883,3851,283,763,16257,"Outer Regional Australia",613,8761,58114,"21501",2016,1115,142.1011076,-36.55431271,28086
3424,3092,475,618,14621,"Outer Regional Australia",483,7706,53326,"21502",2016,1412,141.6828621,-34.86921286,25087
2098,1979,293,380,9212,"Outer Regional Australia",226,5296,36197,"21503",2016,642,143.2135167,-35.6089129,17294
2258,2213,97,446,9357,"Inner Regional Australia",298,6117,37021,"21601",2016,969,144.7194829,-36.34514711,19436
1547,1726,113,303,7221,"Inner Regional Australia",214,4621,28887,"21602",2016,743,145.5503684,-36.06188146,14379
4328,3935,780,969,18424,"Inner Regional Australia",923,8753,63476,"21603",2016,1945,145.3818208,-36.39841549,33817
2411,2218,91,479,9709,"Outer Regional Australia",391,5813,34970,"21701",2016,1129,141.7204554,-37.70001428,18848
6976,5791,309,1301,26728,"Inner Regional Australia",1238,13221,86090,"21702",2016,2152,143.0156239,-38.23697583,47575
6979,5818,164,984,30019,"Major Cities of Australia",1591,12191,74500,"30101",2016,2448,153.1954591,-27.5156779,42613
7532,7123,133,1163,33000,"Major Cities of Australia",1843,14157,85876,"30102",2016,2794,153.3851875,-27.46164179,43902
8430,5536,154,1181,30400,"Major Cities of Australia",2204,9653,71895,"30103",2016,2367,153.1653021,-27.42844321,40257
6219,3380,120,872,20640,"Major Cities of Australia",1850,5116,41764,"30201",2016,754,153.0051325,-27.34462637,23475
11268,5517,292,1500,35316,"Major Cities of Australia",2899,8502,73251,"30202",2016,1954,153.0263642,-27.38766172,40633
5919,3257,172,816,19982,"Major Cities of Australia",1629,5091,39378,"30203",2016,1146,153.0996051,-27.38629597,23009
7046,4736,286,956,25904,"Major Cities of Australia",1819,8203,60119,"30204",2016,1823,153.0466445,-27.324346,32233
15949,5493,298,2174,43261,"Major Cities of Australia",5426,6515,74691,"30302",2016,2933,153.0417273,-27.51075197,48482
12522,5416,460,1449,39148,"Major Cities of Australia",4623,6771,73469,"30303",2016,2455,153.1235536,-27.55945924,41491
8413,4379,631,723,30195,"Major Cities of Australia",3297,6459,62069,"30305",2016,2632,153.0270008,-27.61197178,35764
1897,1628,18,302,7420,"Inner Regional Australia",532,3019,19111,"30904",2016,526,153.1881682,-28.1029492,10084
3458,2876,42,518,13795,"Major Cities of Australia",934,5276,34339,"30905",2016,771,153.3699733,-28.16168933,19114
5718,5423,159,766,26365,"Major Cities of Australia",1289,11166,69676,"30906",2016,2265,153.3191457,-28.00241601,39280
9467,9743,234,1200,46310,"Major Cities of Australia",2249,19689,123036,"30907",2016,3063,153.3016813,-27.81266469,65020
17099,11679,558,2281,73289,"Outer Regional Australia",4050,30540,195961,"31802",2016,9854,146.7202946,-19.39729213,91666
5496,4651,302,811,25067,"Inner Regional Australia",906,14372,89317,"31901",2016,3821,152.234466,-24.99751595,40386
2427,2491,205,348,12084,"Outer Regional Australia",340,7084,49441,"31902",2016,1925,151.373389,-25.60787199,22153
2591,3008,127,424,13569,"Inner Regional Australia",411,8344,49197,"31903",2016,1974,152.4716173,-26.14272909,21567
3678,3667,161,637,16637,"Inner Regional Australia",690,9667,57420,"31904",2016,2395,152.8288345,-25.33871401,22781
1999,2391,131,354,10964,"Inner Regional Australia",305,7745,45307,"31905",2016,2009,152.6666887,-25.530228,18587
