bachelor_degree_level_tot_2016, advanced_diploma_diploma_level_tot_2016, no_scl_tot_2016, graduate_diploma_graduate_certificate_level_tot_2016, yr_12_equivalent_tot_2016, remoteness, postgraduate_degree_level_tot_2016, certificate_level_tot_2016, est_res_pop, sa3_code, yr, unemployed_tot, longitude, latitude, labour_force_tot
5737,5175,140,962,23681,"Inner Regional Australia",1202,11403,63785,"31604",2016,1737,152.9506881,-26.3907767,30897
4736,3927,61,705,17909,"Major Cities of Australia",1136,6173,40622,"31605",2016,818,153.0610573,-26.42195851,18945
4589,4267,68,842,18741,"Inner Regional Australia",1080,8408,50458,"31606",2016,1188,152.8407042,-26.72524383,24500
14428,9589,616,2071,55268,"Inner Regional Australia",3839,22200,153527,"31701",2016,3390,152.0841385,-27.61662363,73608
2091,1661,178,280,11370,"Outer Regional Australia",252,6594,43839,"31801",2016,2502,145.8929729,-20.07228583,18255
2511,3018,146,387,15609,"Major Cities of Australia",433,8682,42876,"31104",2016,697,152.99354,-27.81001009,19993
4548,4171,364,641,23409,"Major Cities of Australia",975,9918,61865,"31105",2016,1259,153.1916835,-27.67480078,28688
2111,2593,203,300,13421,"Major Cities of Australia",375,6685,44153,"31102",2016,1270,153.1892544,-27.73266258,18530
6387,5077,1126,773,29841,"Major Cities of Australia",1710,10403,82438,"31106",2016,2611,153.1317897,-27.62800536,35850
1886,1311,87,224,9774,"Outer Regional Australia",249,5633,37296,"31201",2016,908,147.8200506,-21.84474016,21874
7503,5768,253,1048,36659,"Inner Regional Australia",1143,21691,123540,"31202",2016,4326,148.8036423,-21.13923845,68508
4096,4531,673,487,27581,"Major Cities of Australia",785,12621,82316,"31103",2016,1999,153.037683,-27.70041534,36637
1444,1604,31,171,7209,"Outer Regional Australia",217,3960,20950,"31203",2016,687,148.561529,-20.38874477,12366
1930,2392,93,348,9777,"Inner Regional Australia",416,5847,33518,"31301",2016,932,153.1055586,-27.02163001,13437
3177,4123,257,470,20931,"Major Cities of Australia",497,11592,68032,"31302",2016,2986,152.9406891,-27.0457221,33632
5082,1689,71,494,15127,"Major Cities of Australia",2188,1249,23615,"40101",2016,1248,138.5989126,-34.92198298,13088
3388,4367,1076,424,24498,"Major Cities of Australia",568,13558,90550,"40202",2016,5948,138.6599719,-34.690286,40319
9094,4649,1328,978,29791,"Major Cities of Australia",3103,7652,70444,"40203",2016,2483,138.6240517,-34.85662782,33381
9538,6007,97,1614,30916,"Inner Regional Australia",2761,10095,72753,"40102",2016,2447,138.8529604,-34.97560137,40671
8397,2852,164,1287,21531,"Major Cities of Australia",3209,2624,39518,"40107",2016,1039,138.6040323,-34.9547972,22239
9215,7707,2677,975,46857,"Major Cities of Australia",2536,20052,138160,"40204",2016,6608,138.6170901,-34.77542918,69017
9581,7703,237,1434,37843,"Major Cities of Australia",2236,15332,94858,"40205",2016,2064,138.7193821,-34.80578593,52299
2066,2425,89,337,10871,"Major Cities of Australia",414,5881,35038,"40201",2016,1128,138.6831902,-34.58572482,17854
11919,7233,503,1527,40902,"Major Cities of Australia",3249,12469,91189,"40302",2016,3092,138.5396156,-35.03239259,47383
12277,5219,190,1958,33153,"Major Cities of Australia",4166,6077,65014,"40303",2016,1203,138.6217324,-35.00334301,34232
13560,12483,322,2129,60752,"Major Cities of Australia",2797,29557,170875,"40304",2016,7565,138.5689717,-35.17834007,88366
13321,7835,1332,1652,47105,"Major Cities of Australia",3453,14191,111649,"40401",2016,3415,138.5240717,-34.88900476,56298
5335,3768,817,741,22319,"Major Cities of Australia",1332,8031,60190,"40402",2016,2809,138.5280323,-34.82587108,29897
9372,4680,516,1118,30165,"Major Cities of Australia",2899,7174,62452,"40403",2016,1598,138.5424445,-34.94140046,33241
7478,3762,555,938,23633,"Major Cities of Australia",2366,5679,52360,"40104",2016,1937,138.6830138,-34.88425537,26739
9987,3465,115,1363,25188,"Major Cities of Australia",4003,2530,45337,"40103",2016,867,138.6598672,-34.93997636,23973
7327,2668,282,1046,19513,"Major Cities of Australia",2730,2889,37496,"40105",2016,1278,138.6364496,-34.90757386,20533
