remoteness, sa3_code, yr
"Inner Regional Australia","10101",2015
"Major Cities of Australia","10102",2015
"Outer Regional Australia","10103",2015
"Outer Regional Australia","10104",2015
"Major Cities of Australia","10201",2015
"Major Cities of Australia","10202",2015
"Inner Regional Australia","10301",2015
"Outer Regional Australia","10302",2015
"Inner Regional Australia","10303",2015
"Inner Regional Australia","10304",2015
"Inner Regional Australia","10401",2015
"Inner Regional Australia","10402",2015
"Remote Australia","10501",2015
"Outer Regional Australia","10502",2015
"Inner Regional Australia","10503",2015
"Inner Regional Australia","10601",2015
"Major Cities of Australia","10602",2015
"Inner Regional Australia","10603",2015
"Inner Regional Australia","10604",2015
"Major Cities of Australia","10701",2015
"Inner Regional Australia","10702",2015
"Major Cities of Australia","10703",2015
"Major Cities of Australia","10704",2015
"Inner Regional Australia","10801",2015
"Outer Regional Australia","10802",2015
"Very Remote Australia","10803",2015
"Inner Regional Australia","10804",2015
"Inner Regional Australia","10805",2015
"Inner Regional Australia","10901",2015
"Outer Regional Australia","10902",2015
"Inner Regional Australia","10903",2015
"Inner Regional Australia","11001",2015
"Outer Regional Australia","11002",2015
"Outer Regional Australia","11003",2015
"Inner Regional Australia","11004",2015
"Major Cities of Australia","11101",2015
"Major Cities of Australia","11102",2015
"Major Cities of Australia","11103",2015
"Inner Regional Australia","11201",2015
"Inner Regional Australia","11202",2015
"Major Cities of Australia","11203",2015
"Outer Regional Australia","11301",2015
"Inner Regional Australia","11302",2015
"Inner Regional Australia","11303",2015
"Inner Regional Australia","11401",2015
"Inner Regional Australia","11402",2015
"Major Cities of Australia","11501",2015
"Major Cities of Australia","11502",2015
"Inner Regional Australia","11503",2015
"Major Cities of Australia","11504",2015
"Major Cities of Australia","11601",2015
"Major Cities of Australia","11602",2015
"Major Cities of Australia","11603",2015
"Major Cities of Australia","11701",2015
"Major Cities of Australia","11801",2015
"Major Cities of Australia","11703",2015
"Major Cities of Australia","11802",2015
"Major Cities of Australia","11901",2015
"Major Cities of Australia","11702",2015
"Major Cities of Australia","11902",2015
"Major Cities of Australia","11903",2015
"Major Cities of Australia","11904",2015
"Major Cities of Australia","12001",2015
"Major Cities of Australia","12002",2015
"Major Cities of Australia","12003",2015
"Major Cities of Australia","12101",2015
"Major Cities of Australia","12102",2015
"Major Cities of Australia","12103",2015
"Major Cities of Australia","12104",2015
"Major Cities of Australia","12201",2015
"Major Cities of Australia","12202",2015
"Major Cities of Australia","12203",2015
"Major Cities of Australia","12301",2015
"Major Cities of Australia","12302",2015
"Inner Regional Australia","12303",2015
"Major Cities of Australia","12401",2015
"Inner Regional Australia","12402",2015
"Major Cities of Australia","12403",2015
"Major Cities of Australia","12404",2015
"Major Cities of Australia","12405",2015
"Major Cities of Australia","12501",2015
"Major Cities of Australia","12502",2015
"Major Cities of Australia","12503",2015
"Major Cities of Australia","12504",2015
"Major Cities of Australia","12601",2015
"Major Cities of Australia","12602",2015
"Major Cities of Australia","12701",2015
"Major Cities of Australia","12702",2015
"Major Cities of Australia","12703",2015
"Major Cities of Australia","12801",2015
"Major Cities of Australia","12802",2015
"Inner Regional Australia","20101",2015
