remoteness, sa3_code, yr
"Inner Regional Australia","10101",2014
"Major Cities of Australia","10102",2014
"Outer Regional Australia","10103",2014
"Outer Regional Australia","10104",2014
"Major Cities of Australia","10201",2014
"Major Cities of Australia","10202",2014
"Inner Regional Australia","10301",2014
"Outer Regional Australia","10302",2014
"Inner Regional Australia","10303",2014
"Inner Regional Australia","10304",2014
"Inner Regional Australia","10401",2014
"Inner Regional Australia","10402",2014
"Remote Australia","10501",2014
"Outer Regional Australia","10502",2014
"Inner Regional Australia","10503",2014
"Inner Regional Australia","10601",2014
"Major Cities of Australia","10602",2014
"Inner Regional Australia","10603",2014
"Inner Regional Australia","10604",2014
"Major Cities of Australia","10701",2014
"Inner Regional Australia","10702",2014
"Major Cities of Australia","10703",2014
"Major Cities of Australia","10704",2014
"Inner Regional Australia","10801",2014
"Outer Regional Australia","10802",2014
"Very Remote Australia","10803",2014
"Inner Regional Australia","10804",2014
"Inner Regional Australia","10805",2014
"Inner Regional Australia","10901",2014
"Outer Regional Australia","10902",2014
"Inner Regional Australia","10903",2014
"Inner Regional Australia","11001",2014
"Outer Regional Australia","11002",2014
"Outer Regional Australia","11003",2014
"Inner Regional Australia","11004",2014
"Major Cities of Australia","11101",2014
"Major Cities of Australia","11102",2014
"Major Cities of Australia","11103",2014
"Inner Regional Australia","11201",2014
"Inner Regional Australia","11202",2014
"Major Cities of Australia","11203",2014
"Outer Regional Australia","11301",2014
"Inner Regional Australia","11302",2014
"Inner Regional Australia","11303",2014
"Inner Regional Australia","11401",2014
"Inner Regional Australia","11402",2014
"Major Cities of Australia","11501",2014
"Major Cities of Australia","11502",2014
"Inner Regional Australia","11503",2014
"Major Cities of Australia","11504",2014
"Major Cities of Australia","11601",2014
"Major Cities of Australia","11602",2014
"Major Cities of Australia","11603",2014
"Major Cities of Australia","11701",2014
"Major Cities of Australia","11801",2014
"Major Cities of Australia","11703",2014
"Major Cities of Australia","11802",2014
"Major Cities of Australia","11901",2014
"Major Cities of Australia","11702",2014
"Major Cities of Australia","11902",2014
"Major Cities of Australia","11903",2014
"Major Cities of Australia","11904",2014
"Major Cities of Australia","12001",2014
"Major Cities of Australia","12002",2014
"Major Cities of Australia","12003",2014
"Major Cities of Australia","12101",2014
"Major Cities of Australia","12102",2014
"Major Cities of Australia","12103",2014
"Major Cities of Australia","12104",2014
"Inner Regional Australia","12402",2014
"Major Cities of Australia","12201",2014
"Major Cities of Australia","12202",2014
"Major Cities of Australia","12203",2014
"Major Cities of Australia","12301",2014
"Major Cities of Australia","12302",2014
"Inner Regional Australia","12303",2014
"Major Cities of Australia","12401",2014
"Major Cities of Australia","12403",2014
"Major Cities of Australia","12404",2014
"Major Cities of Australia","12405",2014
"Major Cities of Australia","12501",2014
"Major Cities of Australia","12502",2014
"Major Cities of Australia","12503",2014
"Major Cities of Australia","12504",2014
"Major Cities of Australia","12601",2014
"Major Cities of Australia","12602",2014
"Major Cities of Australia","12701",2014
"Major Cities of Australia","12702",2014
"Major Cities of Australia","12703",2014
"Major Cities of Australia","12801",2014
"Major Cities of Australia","12802",2014
"Inner Regional Australia","20101",2014
"Inner Regional Australia","20102",2014
"Inner Regional Australia","20103",2014
"Inner Regional Australia","20201",2014
"Inner Regional Australia","20202",2014
"Inner Regional Australia","20203",2014
"Inner Regional Australia","20301",2014
"Major Cities of Australia","20302",2014
"Inner Regional Australia","20303",2014
"Inner Regional Australia","20401",2014
"Inner Regional Australia","20402",2014
"Inner Regional Australia","20403",2014
"Inner Regional Australia","20501",2014
"Outer Regional Australia","20502",2014
"Inner Regional Australia","20503",2014
"Inner Regional Australia","20504",2014
"Inner Regional Australia","20505",2014
"Major Cities of Australia","20601",2014
"Major Cities of Australia","20602",2014
"Major Cities of Australia","20603",2014
"Major Cities of Australia","20604",2014
"Major Cities of Australia","20605",2014
"Major Cities of Australia","20701",2014
"Major Cities of Australia","20702",2014
"Major Cities of Australia","20703",2014
"Major Cities of Australia","20606",2014
"Major Cities of Australia","20801",2014
"Major Cities of Australia","20901",2014
"Major Cities of Australia","20902",2014
"Major Cities of Australia","20607",2014
"Major Cities of Australia","20903",2014
"Major Cities of Australia","20904",2014
"Major Cities of Australia","21001",2014
"Major Cities of Australia","20803",2014
"Major Cities of Australia","20802",2014
"Major Cities of Australia","20804",2014
"Inner Regional Australia","21002",2014
"Major Cities of Australia","21003",2014
"Major Cities of Australia","21004",2014
"Major Cities of Australia","21005",2014
"Major Cities of Australia","21101",2014
"Major Cities of Australia","21102",2014
"Major Cities of Australia","21103",2014
"Major Cities of Australia","21104",2014
"Major Cities of Australia","21105",2014
"Major Cities of Australia","21201",2014
"Major Cities of Australia","21202",2014
"Major Cities of Australia","21203",2014
"Major Cities of Australia","21204",2014
"Major Cities of Australia","21205",2014
"Major Cities of Australia","21301",2014
"Major Cities of Australia","21302",2014
"Major Cities of Australia","21303",2014
"Major Cities of Australia","21304",2014
"Major Cities of Australia","21305",2014
"Major Cities of Australia","21401",2014
"Major Cities of Australia","21402",2014
"Outer Regional Australia","21501",2014
"Outer Regional Australia","21502",2014
"Outer Regional Australia","21503",2014
"Inner Regional Australia","21601",2014
"Inner Regional Australia","21602",2014
"Inner Regional Australia","21603",2014
"Outer Regional Australia","21701",2014
"Inner Regional Australia","21702",2014
"Major Cities of Australia","30101",2014
"Major Cities of Australia","30102",2014
"Major Cities of Australia","30103",2014
"Major Cities of Australia","30201",2014
"Major Cities of Australia","30202",2014
"Major Cities of Australia","30203",2014
"Major Cities of Australia","30204",2014
"Major Cities of Australia","30302",2014
"Major Cities of Australia","30303",2014
"Major Cities of Australia","30305",2014
"Inner Regional Australia","30904",2014
"Major Cities of Australia","30905",2014
"Major Cities of Australia","30906",2014
"Major Cities of Australia","30907",2014
"Outer Regional Australia","31802",2014
"Inner Regional Australia","31901",2014
"Outer Regional Australia","31902",2014
"Inner Regional Australia","31903",2014
"Inner Regional Australia","31904",2014
"Inner Regional Australia","31905",2014
"Inner Regional Australia","40501",2014
"Outer Regional Australia","40502",2014
"Outer Regional Australia","40503",2014
"Outer Regional Australia","40504",2014
"Remote Australia","40601",2014
"Outer Regional Australia","40602",2014
"Inner Regional Australia","40701",2014
"Major Cities of Australia","30301",2014
"Major Cities of Australia","30304",2014
"Major Cities of Australia","30402",2014
"Major Cities of Australia","30403",2014
"Major Cities of Australia","30404",2014
"Major Cities of Australia","30306",2014
"Major Cities of Australia","30501",2014
"Major Cities of Australia","30502",2014
"Major Cities of Australia","30503",2014
"Major Cities of Australia","30504",2014
"Outer Regional Australia","30601",2014
"Outer Regional Australia","30602",2014
"Major Cities of Australia","30401",2014
"Outer Regional Australia","30603",2014
"Outer Regional Australia","30604",2014
"Outer Regional Australia","30605",2014
